last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,twitter,facebook,youtube_id,bioguide_id,wikipedia_id
Burr,Richard,M.,,,Richard Burr,1955-11-30,M,sen,NC,,3,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,SenatorBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,Richard Burr
Butterfield,George,Kenneth,Jr.,G.K.,G. K. Butterfield,1947-04-27,M,rep,NC,1,,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building; Washington DC 20515-3301,202-225-3101,GKButterfield,congressmangkbutterfield,UCbodCVgLfcbaep49L1M-mqA,B001251,G. K. Butterfield
Calvert,Ken,S.,,,Ken Calvert,1953-06-08,M,rep,CA,42,,Republican,https://calvert.house.gov,2205 Rayburn House Office Building; Washington DC 20515-0542,202-225-1986,KenCalvert,70063393423,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,Ken Calvert
Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,sen,WV,,2,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,Shelley Moore Capito
Carson,André,,,,André Carson,1974-10-16,M,rep,IN,7,,Democrat,https://carson.house.gov,2135 Rayburn House Office Building; Washington DC 20515-1407,202-225-4011,RepAndreCarson,CongressmanAndreCarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,André Carson
Carter,John,R.,,,John R. Carter,1941-11-06,M,rep,TX,31,,Republican,https://carter.house.gov,2110 Rayburn House Office Building; Washington DC 20515-4331,202-225-3864,JudgeCarter,judgecarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,John Carter (Texas politician)
Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,sen,LA,,2,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,SenBillCassidy,,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,Bill Cassidy
Castor,Kathy,,,,Kathy Castor,1966-08-20,F,rep,FL,14,,Democrat,https://castor.house.gov,2052 Rayburn House Office Building; Washington DC 20515-0914,202-225-3376,USRepKCastor,USRepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,C001066,Kathy Castor
Chabot,Steve,J.,,,Steve Chabot,1953-01-22,M,rep,OH,1,,Republican,https://chabot.house.gov,2408 Rayburn House Office Building; Washington DC 20515-3501,202-225-2216,RepSteveChabot,RepSteveChabot,UCJpzm2DZDE1B6ruQLQc7q4g,C000266,Steve Chabot
Chu,Judy,M.,,,Judy Chu,1953-07-07,F,rep,CA,27,,Democrat,https://chu.house.gov,2423 Rayburn House Office Building; Washington DC 20515-0527,202-225-5464,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,Judy Chu
Cicilline,David,N.,,,David N. Cicilline,1961-07-15,M,rep,RI,1,,Democrat,https://cicilline.house.gov,2233 Rayburn House Office Building; Washington DC 20515-3901,202-225-4911,RepCicilline,CongressmanDavidCicilline,UC3sCl46o8hYP69LnidNltuw,C001084,David Cicilline
Clarke,Yvette,D.,,,Yvette D. Clarke,1964-11-21,F,rep,NY,9,,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building; Washington DC 20515-3209,202-225-6231,RepYvetteClarke,repyvettedclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,C001067,Yvette Clarke
Clay,Wm.,Lacy,Jr.,,Wm. Lacy Clay,1956-07-27,M,rep,MO,1,,Democrat,https://lacyclay.house.gov,2428 Rayburn House Office Building; Washington DC 20515-2501,202-225-2406,,109135405838588,UCB3yVQzlxhx3brOwaWtiXoQ,C001049,Lacy Clay
Cleaver,Emanuel,,II,,Emanuel Cleaver,1944-10-26,M,rep,MO,5,,Democrat,https://cleaver.house.gov,2335 Rayburn House Office Building; Washington DC 20515-2505,202-225-4535,RepCleaver,emanuelcleaverii,UCVC-7CLFjXczoihr5FxDLsw,C001061,Emanuel Cleaver
Clyburn,James,E.,,Jim,James E. Clyburn,1940-07-21,M,rep,SC,6,,Democrat,https://clyburn.house.gov,200 Cannon House Office Building; Washington DC 20515-4006,202-225-3315,WhipClyburn,jameseclyburn,UCIyU_UA_JEa14gvAwhquKqg,C000537,Jim Clyburn
Cohen,Steve,,,,Steve Cohen,1949-05-24,M,rep,TN,9,,Democrat,https://cohen.house.gov,2104 Rayburn House Office Building; Washington DC 20515-4209,202-225-3265,RepCohen,CongressmanSteveCohen,UC_NJlnsOBjOameUwZk0rvsA,C001068,Steve Cohen
Cole,Tom,,,,Tom Cole,1949-04-28,M,rep,OK,4,,Republican,https://cole.house.gov,2207 Rayburn House Office Building; Washington DC 20515-3604,202-225-6165,TomColeOK04,TomColeOK04,UCvqzPm_YnNkfEHpm3SEMJMQ,C001053,Tom Cole
Conaway,K.,Michael,,,K. Michael Conaway,1948-06-11,M,rep,TX,11,,Republican,https://conaway.house.gov,2469 Rayburn House Office Building; Washington DC 20515-4311,202-225-3605,ConawayTX11,mike.conaway,UCR3dhwhVfxmmqv6ct2Xa1-g,C001062,Mike Conaway
Connolly,Gerald,E.,,,Gerald E. Connolly,1950-03-30,M,rep,VA,11,,Democrat,https://connolly.house.gov,2238 Rayburn House Office Building; Washington DC 20515-4611,202-225-1492,GerryConnolly,CongressmanGerryConnolly,UC4WG9PlmoOeSLIuyVjs-RSA,C001078,Gerry Connolly
Cooper,Jim,,,,Jim Cooper,1954-06-19,M,rep,TN,5,,Democrat,https://cooper.house.gov,1536 Longworth House Office Building; Washington DC 20515-4205,202-225-4311,RepJimCooper,JimCooper,UCjplyIIQbNZcl013AyDfPNg,C000754,Jim Cooper
Costa,Jim,,,,Jim Costa,1952-04-13,M,rep,CA,16,,Democrat,https://costa.house.gov,2081 Rayburn House Office Building; Washington DC 20515-0516,202-225-3341,RepJimCosta,RepJimCosta,UCVgXX23eJEai6GiBOKO6dvA,C001059,Jim Costa
Courtney,Joe,,,,Joe Courtney,1953-04-06,M,rep,CT,2,,Democrat,https://courtney.house.gov,2332 Rayburn House Office Building; Washington DC 20515-0702,202-225-2076,RepJoeCourtney,joecourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,C001069,Joe Courtney (politician)
Crapo,Michael,D.,,,Mike Crapo,1951-05-20,M,sen,ID,,3,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,MikeCrapo,mikecrapo,UCMHzKHg1BE7dEcFjnayw1lA,C000880,Mike Crapo
Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,AR,1,,Republican,https://crawford.house.gov,2422 Rayburn House Office Building; Washington DC 20515-0401,202-225-4076,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,C001087,Rick Crawford (politician)
Cuellar,Henry,,,,Henry Cuellar,1955-09-19,M,rep,TX,28,,Democrat,https://cuellar.house.gov,2372 Rayburn House Office Building; Washington DC 20515-4328,202-225-1640,RepCuellar,152569121550,UCVgEOdJx3tyILO9EjZ-heEQ,C001063,Henry Cuellar
Davis,Danny,K.,,,Danny K. Davis,1941-09-06,M,rep,IL,7,,Democrat,https://davis.house.gov,2159 Rayburn House Office Building; Washington DC 20515-1307,202-225-5006,RepDannyDavis,CongressmanDKDavis,UCdhrT09_XMr31tuI8OcKsjQ,D000096,Danny K. Davis
Davis,Susan,A.,,,Susan A. Davis,1944-04-13,F,rep,CA,53,,Democrat,https://susandavis.house.gov,1214 Longworth House Office Building; Washington DC 20515-0553,202-225-2040,RepSusanDavis,RepSusanDavis,UCUni9eg-gXv8pZ2WE_YR0bg,D000598,Susan Davis (politician)
DeFazio,Peter,A.,,,Peter A. DeFazio,1947-05-27,M,rep,OR,4,,Democrat,https://defazio.house.gov,2134 Rayburn House Office Building; Washington DC 20515-3704,202-225-6416,RepPeterDeFazio,RepPeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg,D000191,Peter DeFazio
DeGette,Diana,L.,,,Diana DeGette,1957-07-29,F,rep,CO,1,,Democrat,https://degette.house.gov,2111 Rayburn House Office Building; Washington DC 20515-0601,202-225-4431,RepDianaDeGette,DianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,D000197,Diana DeGette
DeLauro,Rosa,L.,,,Rosa L. DeLauro,1943-03-02,F,rep,CT,3,,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building; Washington DC 20515-0703,202-225-3661,RosaDeLauro,CongresswomanRosaDeLauro,UC9ROfGBm7kSLCEDYwFF6McQ,D000216,Rosa DeLauro
DesJarlais,Scott,,,,Scott DesJarlais,1964-02-21,M,rep,TN,4,,Republican,https://desjarlais.house.gov,2301 Rayburn House Office Building; Washington DC 20515-4204,202-225-6831,DesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,D000616,Scott DesJarlais
Deutch,Theodore,E.,,Ted,Theodore E. Deutch,1966-05-07,M,rep,FL,22,,Democrat,https://teddeutch.house.gov,2447 Rayburn House Office Building; Washington DC 20515-0922,202-225-3001,RepTedDeutch,CongressmanTedDeutch,UC1JlTLRUDkzhM2htvI9QJTA,D000610,Ted Deutch
Diaz-Balart,Mario,,,,Mario Diaz-Balart,1961-09-25,M,rep,FL,25,,Republican,https://mariodiazbalart.house.gov,404 Cannon House Office Building; Washington DC 20515-0925,202-225-4211,MarioDB,mdiazbalart,UCpEEd0Plxx5D78pI4a4mFTQ,D000600,Mario Díaz-Balart
Doggett,Lloyd,A.,,,Lloyd Doggett,1946-10-06,M,rep,TX,35,,Democrat,https://doggett.house.gov,2307 Rayburn House Office Building; Washington DC 20515-4335,202-225-4865,RepLloydDoggett,lloyddoggett,UCN-kiLKyHPcfRVZ28sAHS_g,D000399,Lloyd Doggett
Doyle,Michael,F.,Jr.,Mike,Michael F. Doyle,1953-08-05,M,rep,PA,18,,Democrat,https://doyle.house.gov,306 Cannon House Office Building; Washington DC 20515-3818,202-225-2135,USRepMikeDoyle,usrepmikedoyle,UCni9vINmgerEeVXhKCC9qbA,D000482,Michael F. Doyle
Duncan,Jeff,,,,Jeff Duncan,1966-01-07,M,rep,SC,3,,Republican,https://jeffduncan.house.gov,2229 Rayburn House Office Building; Washington DC 20515-4003,202-225-5301,RepJeffDuncan,RepJeffDuncan,UC1tuXL6ymImdpKYGEAH83QA,D000615,Jeff Duncan (politician)
Engel,Eliot,L.,,,Eliot L. Engel,1947-02-18,M,rep,NY,16,,Democrat,https://engel.house.gov,2426 Rayburn House Office Building; Washington DC 20515-3216,202-225-2464,RepEliotEngel,RepEliotLEngel,UCZ-ctBF-a6CYPJWDoBV_JyA,E000179,Eliot Engel
Eshoo,Anna,G.,,,Anna G. Eshoo,1942-12-13,F,rep,CA,18,,Democrat,https://eshoo.house.gov,202 Cannon House Office Building; Washington DC 20515-0518,202-225-8104,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ,E000215,Anna Eshoo
Fleischmann,Charles,J.,,Chuck,"Charles J. ""Chuck"" Fleischmann",1962-10-11,M,rep,TN,3,,Republican,https://fleischmann.house.gov,2410 Rayburn House Office Building; Washington DC 20515-4203,202-225-3271,RepChuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw,F000459,Chuck Fleischmann
Flores,Bill,,,,Bill Flores,1954-02-25,M,rep,TX,17,,Republican,https://flores.house.gov,2228 Rayburn House Office Building; Washington DC 20515-4317,202-225-6105,RepBillFlores,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA,F000461,Bill Flores
Fortenberry,Jeff,Lane,,,Jeff Fortenberry,1960-12-27,M,rep,NE,1,,Republican,https://fortenberry.house.gov,1514 Longworth House Office Building; Washington DC 20515-2701,202-225-4806,JeffFortenberry,jefffortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA,F000449,Jeff Fortenberry
Foxx,Virginia,,,,Virginia Foxx,1943-06-29,F,rep,NC,5,,Republican,https://foxx.house.gov,2462 Rayburn House Office Building; Washington DC 20515-3305,202-225-2071,VirginiaFoxx,RepVirginiaFoxx,UCggineJcxJn80TRXxdQbx6w,F000450,Virginia Foxx
Fudge,Marcia,L.,,,Marcia L. Fudge,1952-10-29,F,rep,OH,11,,Democrat,https://fudge.house.gov,2344 Rayburn House Office Building; Washington DC 20515-3511,202-225-7032,RepMarciaFudge,RepMarciaLFudge,UClmYIIhIcL-WwtBAy1Dhokg,F000455,Marcia Fudge
Garamendi,John,,,,John Garamendi,1945-01-24,M,rep,CA,3,,Democrat,https://garamendi.house.gov,2368 Rayburn House Office Building; Washington DC 20515-0503,202-225-1880,RepGaramendi,repgaramendi,UCRym1qsO72C39gX6pBu4icg,G000559,John Garamendi
Gardner,Cory,,,,Cory Gardner,1974-08-22,M,sen,CO,,2,Republican,https://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5941,SenCoryGardner,SenCoryGardner,UC7Vi5vAFb7piu_BNwrYDBxQ,G000562,Cory Gardner
Gibbs,Bob,,,,Bob Gibbs,1954-06-14,M,rep,OH,7,,Republican,https://gibbs.house.gov,2446 Rayburn House Office Building; Washington DC 20515-3507,202-225-6265,RepBobGibbs,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA,G000563,Bob Gibbs
